name,interests
Ashley Martinez,Lithuanian
Edward Johnson,Gagauz
Johnny Knight,Bislama
Jose Rice,Polish
Samuel Watson,West Frisian
Peter Ward,Kyrgyz
Maria Patterson,Papiamento
Jimmy Watkins,Danish
Catherine Johnson,Danish
Sara Turner,Swati
Heather Gray,Gagauz
Stephanie Myers,Georgian
Sean Allen,Marathi
Rebecca Ford,Kazakh
John Montgomery,Bosnian
Raymond Wallace,Bulgarian
Michael Edwards,Ndebele
Katherine Moreno,Zulu
Ryan Richards,Gujarati
Juan Jordan,Assamese
Emily Larson,Greek
Anne Tucker,Oriya
Rachel Watson,Swati
Timothy Carroll,Portuguese
Phillip Larson,Azeri
Lois Taylor,Gujarati
Ernest Hanson,Dhivehi
Paul Warren,Lao
Mary Meyer,Oriya
David Thomas,Khmer
Stephanie Schmidt,Amharic
Janet Bishop,Malay
Andrew Martinez,Tetum
Diane Long,Kashmiri
Kathryn Freeman,Hebrew
Joe Perkins,Dari
Jonathan Morgan,Romanian
Bruce Evans,Dari
Nancy Ryan,Tswana
Craig Hicks,Albanian
Russell Banks,Punjabi
Margaret Rice,Estonian
Clarence Jacobs,Mongolian
Louis Marshall,Khmer
Christina Lane,Māori
Sarah Hunter,Swedish
Beverly Young,Aymara
Christopher Wagner,Moldovan
Eric Sanders,Fijian
Gloria Carpenter,Mongolian
Norma Stewart,Pashto
Denise Fowler,Hebrew
Gregory Adams,Ndebele
Jeffrey Lynch,Northern Sotho
Diana Burns,Malayalam
Patrick Day,Tsonga
Ronald Snyder,Nepali
Joyce Cook,Hiri Motu
Janet Torres,Guaraní
Martha Black,Northern Sotho
Teresa George,Zulu
Mildred Franklin,Punjabi
Peter Lynch,Māori
Keith Castillo,Azeri
Joe Garcia,Montenegrin
Laura Sullivan,Moldovan
Janet Carpenter,Hebrew
Johnny Tucker,Yiddish
Russell Kim,Swedish
Martha Romero,Kannada
Andrea Harris,Kashmiri
Deborah Harvey,Zulu
James Pierce,Yiddish
Kevin Graham,Afrikaans
Theresa Tucker,Greek
Ruby Smith,Azeri
Ann Little,Quechua
Victor Greene,Korean
Brian Perry,Macedonian
Julie Burton,Thai
Norma Fowler,Kazakh
Susan Carroll,German
Phillip Sullivan,Albanian
Kathryn Jacobs,Georgian
Shawn Wallace,Estonian
Harry Castillo,Irish Gaelic
James Jackson,Swedish
Kelly Ross,Dutch
Catherine Simmons,Georgian
Marilyn Boyd,Albanian
Harry Collins,Hungarian
Emily Henry,Estonian
Paul Brooks,Italian
Denise Sims,Hindi
Rachel Lewis,Papiamento
George Wagner,Azeri
Louis Lewis,Gujarati
Sean Montgomery,Romanian
Charles Meyer,Haitian Creole
Brian Bowman,Assamese
Stephanie Price,Ndebele
Maria Black,Swedish
Stephanie Hawkins,Icelandic
Margaret Frazier,Greek
Fred Ross,Hiri Motu
Bonnie Fuller,Punjabi
Raymond Nelson,Catalan
Angela Robinson,Burmese
Kevin Owens,Azeri
Marie Miller,Macedonian
Harry Moreno,Tamil
Joyce Stanley,Croatian
Sarah Nguyen,Danish
Brandon Morales,Tajik
Joshua Franklin,Aymara
Dennis Jackson,Aymara
Anna Berry,Burmese
Paula Hicks,Estonian
Albert Reynolds,Hungarian
Amy Bell,Danish
Jacqueline Fields,Fijian
Betty Fisher,Telugu
Victor West,Tsonga
Frances Burton,Zulu
Ruth Kennedy,Chinese
Philip Hernandez,Icelandic
Willie Montgomery,Somali
Amanda Anderson,Chinese
Nicholas Adams,New Zealand Sign Language
Ruth Boyd,Portuguese
Jimmy Carroll,Greek
John Morales,Sotho
Jeffrey Murphy,Moldovan
Jane Cunningham,Swedish
Brian Hart,Northern Sotho
Shirley Knight,Montenegrin
Earl Kelly,Portuguese
Angela Medina,Korean
Deborah Murray,Bosnian
Stephanie Medina,Hindi
Antonio Adams,Tswana
Linda Baker,Georgian
Joseph Rogers,Yiddish
Anthony Hernandez,Nepali
Ruth Martinez,Haitian Creole
Kelly Gordon,Irish Gaelic
Robert Watson,Finnish
Frank Gardner,Quechua
Carlos Perkins,Somali
Steve George,Gagauz
Irene Myers,Guaraní
William Ryan,Gujarati
Louise Johnston,Hiri Motu
Scott Elliott,Norwegian
Randy Lawrence,Latvian
Daniel Hill,Czech
Betty Oliver,Mongolian
Rose Hughes,Northern Sotho
Julie Henry,Romanian
Eugene Fox,Georgian
Barbara Gilbert,Armenian
Melissa Price,Yiddish
Katherine Lane,Gujarati
Aaron Robinson,Northern Sotho
Roy Shaw,Marathi
Kathleen Collins,Bislama
Earl Gonzales,Tswana
Sharon Kennedy,Tetum
Peter Cooper,Telugu
Steven Rivera,Quechua
Deborah Robertson,Bulgarian
Roger Morales,Estonian
Angela Gonzalez,Estonian
Juan Palmer,Kannada
Annie Wallace,Swati
Stephanie Ryan,Arabic
Frances Mcdonald,Malagasy
Judith Richards,Tamil
Gregory Wright,Malayalam
Robert Olson,Hungarian
Bonnie Willis,Hiri Motu
Anne Gordon,Montenegrin
Roger Elliott,Mongolian
Catherine Mason,Dutch
Harry Bradley,Indonesian
Carolyn Rodriguez,Papiamento
Dorothy Perez,Dutch
Jose Ryan,Finnish
Katherine Stone,Norwegian
Ann Bennett,Maltese
Victor Reyes,Gagauz
Patrick Andrews,Aymara
Gregory Barnes,Montenegrin
Craig Black,Croatian
Sandra Rivera,Dari
Brenda Rodriguez,Northern Sotho
Edward Martin,Kurdish
Harold Watson,Sotho
Judy Reyes,Zulu
Jesse West,Papiamento
Janet Tucker,Chinese
Roy Gardner,New Zealand Sign Language
Sarah Wallace,Kazakh
Henry Cox,Fijian
Phyllis Welch,Pashto
Wayne Hughes,Tetum
Katherine Cooper,Hiri Motu
Shawn Mccoy,Romanian
Victor Lopez,Romanian
Ann Lynch,Sotho
Deborah Nelson,Icelandic
John Castillo,Aymara
Cynthia Torres,Portuguese
Wayne Mendoza,Hungarian
Wayne Phillips,Oriya
Benjamin Stone,Tswana
Mark Ramos,Afrikaans
Kathy Cruz,Tamil
Emily Bryant,Latvian
Jack Alexander,Bengali
Diana Willis,Tamil
Cheryl Cunningham,Tajik
Scott Wright,Romanian
Victor Jordan,Papiamento
Charles Pierce,Papiamento
Ruth Cooper,Marathi
Evelyn Johnston,Polish
Jose Harris,Tetum
Craig Welch,Tajik
Anne Jackson,Fijian
Fred Sullivan,Malayalam
Jacqueline Jordan,Assamese
Pamela Price,Danish
Donna Porter,Indonesian
Keith Harris,Korean
Thomas Simmons,Georgian
Timothy Lawson,Tamil
James Mitchell,Dzongkha
Juan Ortiz,Quechua
Adam Reid,Kyrgyz
Jean Weaver,Kyrgyz
Samuel Holmes,Pashto
George Dixon,Arabic
Amanda Black,New Zealand Sign Language
George Spencer,Yiddish
Albert Garrett,Malayalam
Rachel Matthews,Nepali
Diana Coleman,Portuguese
Ruby Howell,Malagasy
Melissa Cook,Macedonian
Kevin Carpenter,Moldovan
Lillian Patterson,Oriya
Mary Rogers,Malagasy
Debra Watson,Haitian Creole
Nicole Hunter,Swedish
Johnny Kelly,Japanese
Melissa Perkins,Kashmiri
Joshua Fisher,Georgian
Randy Ortiz,Yiddish
Jimmy Moore,Tswana
Irene Olson,Telugu
Samuel Ross,Lithuanian
Ann Thomas,Gujarati
Joseph Phillips,Macedonian
Amy Gomez,Croatian
Norma Freeman,Maltese
Maria Hunt,Aymara
Clarence Andrews,Amharic
Margaret Butler,Lao
Susan Hicks,Swahili
Anne Moreno,Bengali
Pamela Bryant,Amharic
Julie Garrett,Tsonga
Richard Day,Spanish
Paula Sullivan,Macedonian
Cynthia Lopez,Māori
Scott Ray,Ndebele
David Warren,Amharic
Adam Alexander,Papiamento
Jonathan Stewart,Icelandic
Harry Robinson,Italian
Victor Sanders,Hebrew
Ryan Flores,Montenegrin
Johnny Mason,Papiamento
Margaret Kim,Bislama
Douglas Wells,Nepali
Melissa Burns,Chinese
Craig Warren,Nepali
Patrick Garcia,Bosnian
Barbara Dean,Punjabi
Alan Sanchez,Swahili
Robert Mcdonald,Assamese
Marilyn Jackson,Estonian
Shawn Wallace,Nepali
Richard Elliott,Thai
Roger Burke,Bislama
Teresa Andrews,Oriya
Debra Gutierrez,Malayalam
Melissa Griffin,Estonian
Eric Perry,Tetum
Dorothy Day,Ndebele
Ernest Fuller,Dari
Albert Green,Maltese
Diana Lawson,Tamil
Joseph Gordon,Kannada
David Reid,Kashmiri
Lois Ray,Hungarian
Jose Stone,Aymara
Theresa Wood,Assamese
Howard Hansen,Oriya
Kathleen Martin,Estonian
Steven Harrison,Aymara
James Berry,Haitian Creole
Harold Turner,German
Emily Reed,Dhivehi
Helen Torres,Persian
Sarah Thompson,Filipino
Philip Smith,Gagauz
Joe Castillo,Filipino
Louis Vasquez,Khmer
Ashley Owens,Korean
Gary Berry,Malay
Terry Gonzalez,Azeri
Sandra Kim,Macedonian
Pamela Young,Estonian
Stephen Graham,Marathi
Ruth Patterson,Hindi
James Dean,English
Rebecca Rose,Persian
Joyce Rodriguez,Greek
Phillip Freeman,Malagasy
Douglas Webb,Oriya
Teresa Collins,Korean
Julie Meyer,Nepali
Mary Reed,Kashmiri
Ruby Myers,Marathi
Ernest Gray,Tswana
Ralph Reed,Thai
Sandra Stevens,Malagasy
Michael Reid,Swati
Jennifer Stanley,Gujarati
Edward Riley,Kyrgyz
Arthur Brooks,Lithuanian
Martin Chavez,Zulu
Irene Dunn,New Zealand Sign Language
Doris Perkins,Bislama
Sarah Walker,Yiddish
Carlos Ford,Somali
Patricia West,Somali
Ann Lane,Finnish
Jessica Franklin,Burmese
Alan Alvarez,Indonesian
Ashley Hughes,Georgian
Edward Green,Bosnian
Philip Gonzales,Hungarian
Irene Wright,Telugu
Scott Bowman,Quechua
Gloria Roberts,Belarusian
Christopher Simpson,Korean
Gregory Jacobs,Punjabi
Christine Marshall,Assamese
Christine Stephens,Moldovan
Andrew Pierce,Luxembourgish
William Stone,Belarusian
Nicholas Burns,Dutch
Lawrence Payne,Malay
Anna Moreno,Greek
Jean Moreno,New Zealand Sign Language
Nicole Tucker,Marathi
Sharon Taylor,Montenegrin
Brenda Duncan,Macedonian
David Mills,Hindi
Donald Flores,Norwegian
Daniel Woods,Kurdish
Cheryl Harvey,Papiamento
Jennifer Foster,Dhivehi
Christine Barnes,Persian
Kathryn Graham,Yiddish
Christina Vasquez,Albanian
Robin Lane,Fijian
Nancy Montgomery,Korean
Carlos Holmes,Gagauz
Diane Martinez,Hungarian
Diana Snyder,Zulu
Teresa Thompson,Tsonga
Kenneth Wells,Somali
Virginia Long,Dzongkha
Wayne Lynch,Marathi
Catherine Rodriguez,Polish
Elizabeth Marshall,Lao
Paul Young,Ndebele
Kathy Medina,Croatian
Christine Ruiz,Haitian Creole
Deborah Black,Lao
Angela Price,English
Paula West,Tok Pisin
Dennis Clark,Papiamento
Rose Freeman,Danish
Bonnie Washington,Dhivehi
Roger Riley,Thai
Benjamin Montgomery,Hebrew
Steve Moore,Arabic
Gary Meyer,Punjabi
Judith Phillips,Hungarian
Maria Chavez,New Zealand Sign Language
Janice Nichols,Arabic
Alan Daniels,Korean
Emily Robertson,Punjabi
Harry Richards,Estonian
Wayne Scott,French
Scott Green,Luxembourgish
Eugene Campbell,Montenegrin
Thomas Larson,Croatian
Fred Stevens,Croatian
Craig Griffin,New Zealand Sign Language
Julia Wagner,Dhivehi
Margaret Hart,Latvian
Julie Wood,Azeri
Henry Richardson,Lao
Karen Austin,Pashto
John Wagner,Chinese
Jerry Webb,Northern Sotho
Lawrence Davis,Lithuanian
David Simmons,Aymara
Michelle Ramirez,Persian
Brenda Hughes,Fijian
Billy Bowman,Quechua
Anthony Mason,Italian
Larry Gardner,Indonesian
Craig Rice,Lithuanian
Nicholas Wells,Malagasy
Brian Powell,Japanese
Raymond Carter,Bosnian
George Lawrence,Estonian
Sean Howell,Georgian
Phyllis Wilson,Kannada
Stephanie Richards,Romanian
Carolyn Armstrong,Latvian
Margaret Dean,Punjabi
Carlos Alexander,Pashto
Stephanie Webb,Bengali
Sean Gutierrez,Malagasy
Mark Taylor,Icelandic
Jimmy Freeman,Norwegian
Emily Williamson,Latvian
Ruby Morrison,Fijian
Stephanie Parker,Irish Gaelic
Rose Tucker,Maltese
Mildred Harris,West Frisian
John Carroll,Kazakh
Ralph Mccoy,Swedish
Charles Jackson,Moldovan
James Gardner,Oriya
Donna Thompson,West Frisian
Earl Williamson,Macedonian
John Howard,Afrikaans
Todd Baker,Portuguese
Gloria Reyes,Chinese
Ruby Black,Assamese
Janet Hall,Malagasy
Phyllis Dean,Irish Gaelic
Steven West,Tswana
Antonio Anderson,Yiddish
Lawrence Mason,Armenian
Janet Young,Icelandic
Adam Roberts,Afrikaans
Christina Stewart,Gujarati
George Grant,Georgian
James Dunn,Azeri
Harold Spencer,Catalan
Theresa Reyes,Oriya
Alan Berry,Kyrgyz
Katherine Stephens,Papiamento
Craig Harper,Danish
Jeffrey Mason,Sotho
Robert Young,Nepali
Elizabeth Allen,Czech
Brian Price,Mongolian
Patricia Grant,Macedonian
Ann Carroll,Lithuanian
Arthur White,Afrikaans
Jeremy Fowler,Maltese
Angela Howell,Tamil
Antonio Cox,Tsonga
Beverly Johnson,Catalan
Dennis Olson,Hebrew
Rachel Peters,French
Brian Torres,Lao
Christina Russell,Guaraní
Fred Mcdonald,Portuguese
Norma Foster,Swahili
Pamela Evans,Icelandic
Amy Stewart,Swati
Phillip Olson,Telugu
Jimmy Sims,Kurdish
Ryan Kelley,Swati
Ashley Perkins,Portuguese
Harry Kelley,Quechua
Amanda King,Kazakh
Andrew Lopez,Tswana
Marie Cunningham,Guaraní
Susan Cooper,Fijian
Robert Richards,Khmer
Jerry Gordon,Kashmiri
Sean Hill,Kashmiri
Karen Reyes,Swahili
Joan Perez,Albanian
Tammy Hunt,Mongolian
Joshua Fisher,Portuguese
Brenda Nelson,Zulu
Ronald Lawrence,Catalan
William Fuller,Bislama
Donald Lawrence,Malay
Alan Carter,Nepali
Sara Wheeler,Moldovan
Jean Warren,English
Stephanie Cole,Norwegian
Janice Gilbert,Tamil
Carlos Peters,Hiri Motu
Joan Hawkins,Swahili
Judith Dixon,Ndebele
Jeremy Gutierrez,Pashto
Janice Collins,Lithuanian
Joseph Gonzales,Lao
Benjamin Tucker,Italian
Julie Sanchez,Korean
Frances Schmidt,Catalan
Evelyn Murphy,Northern Sotho
Carol Garcia,Khmer
Beverly Marshall,Ndebele
Ann Burke,New Zealand Sign Language
Frances Robertson,Czech
Maria Hall,Swati
Paula Shaw,Māori
Randy Hansen,Assamese
Nicholas Ryan,Georgian
Jean Payne,Arabic
Lawrence Garrett,Polish
Teresa Porter,Bosnian
Andrew Spencer,Polish
Jonathan Bryant,Estonian
Christina Carr,Armenian
Gloria Ross,Belarusian
Bonnie Wright,Amharic
Victor Ramos,Malay
George Reynolds,Hebrew
Earl Williams,Dhivehi
Jose Gardner,Lao
Benjamin Stewart,Kannada
Gloria Richardson,Swahili
Alan Torres,Papiamento
John Romero,German
Philip Ellis,Telugu
Justin Nelson,Hindi
Jeffrey Ray,Kyrgyz
Andrea Edwards,English
Howard Russell,Bulgarian
Nicole Carr,Montenegrin
Mark Berry,Latvian
Clarence Burke,Hungarian
Kathleen Bailey,Amharic
Jack Davis,Thai
Eric Welch,Filipino
Sandra Stephens,Lao
Judith Lewis,Finnish
Heather Cox,Albanian
Mildred Williams,Zulu
Jennifer Sims,Kashmiri
Stephanie Bowman,Khmer
Ryan Watkins,Dhivehi
Gerald Ryan,Tajik
Diane Tucker,Macedonian
George Wheeler,Luxembourgish
Kathryn Hunt,Korean
Ruth Martin,Swedish
Brian Gibson,Tamil
Raymond Phillips,Belarusian
Deborah Robinson,Catalan
Henry Davis,Greek
Kimberly Fuller,Lao
Nicole Ramirez,Moldovan
Carol Matthews,Albanian
Donald Parker,Mongolian
Joe Taylor,Tamil
Jennifer Clark,Tajik
Gerald Baker,Northern Sotho
Ronald Moreno,Catalan
Edward White,Korean
Terry Wagner,Hebrew
Theresa Baker,Quechua
Julia Bennett,Bengali
Ronald Hicks,Nepali
Roy Warren,Ndebele
Jerry Duncan,French
Debra Pierce,Khmer
Barbara Peterson,Aymara
Janice Baker,Dutch
Elizabeth Reyes,Japanese
Sharon Chavez,Spanish
Linda Kelly,Malagasy
Marie Gonzales,Oriya
Raymond Gordon,Gagauz
Joe Wright,Icelandic
Susan Hudson,Spanish
Shirley Washington,Portuguese
Brian Foster,Khmer
Jimmy Willis,Hindi
John Perkins,Punjabi
Emily Wagner,Czech
Robert Day,Kazakh
Sharon Ramirez,Papiamento
Joyce Jordan,Lithuanian
Martha Hamilton,Ndebele
Kimberly Freeman,Finnish
Lillian Black,Danish
Carolyn Ray,Nepali
Phillip Gardner,West Frisian
Andrea Burke,Macedonian
Beverly Robertson,Malay
Kenneth Reynolds,New Zealand Sign Language
Stephen Rivera,Korean
Donald Castillo,Lao
Carl Matthews,Italian
Norma Sanchez,Georgian
Billy Williamson,Swati
Chris Jacobs,Armenian
Wanda Stephens,Finnish
Frank Patterson,Moldovan
Phillip Gonzales,Quechua
Ruth Hudson,Pashto
Eric Simpson,Italian
Terry Peterson,Hungarian
Robin Walker,Finnish
Carol Hayes,Norwegian
Edward Lopez,Mongolian
Linda Rodriguez,Greek
Aaron Wells,Amharic
Scott Watson,Thai
Willie Greene,Gagauz
Brenda Reyes,Afrikaans
Gary Arnold,French
Laura Payne,Somali
Arthur Bailey,Dhivehi
Charles Rogers,Tajik
Louis Jordan,Greek
Peter Jenkins,Maltese
Roger Larson,Croatian
Martha Ramirez,Punjabi
Carlos Bryant,Hebrew
Charles Montgomery,Thai
Martha Boyd,Norwegian
Kevin Wilson,Nepali
Earl Tucker,West Frisian
Diana Warren,Macedonian
Joseph Bell,Northern Sotho
Donald Cunningham,Maltese
Martin Stone,Latvian
Albert Gibson,Greek
Harry Perkins,Czech
Phyllis Perry,Hungarian
Norma Gardner,Polish
Julie Moore,Azeri
Harold Olson,Kyrgyz
Billy Wheeler,Luxembourgish
Lawrence Woods,Quechua
John Taylor,Ndebele
Anthony Campbell,English
Kathryn Crawford,Tamil
Gregory Mendoza,Dari
Gary Young,Romanian
Jack Hunt,Swahili
Gloria Harper,Tok Pisin
Marie Hanson,Tajik
Billy Ortiz,Māori
Antonio Gilbert,Croatian
Bonnie Ruiz,French
Julia Ortiz,Kyrgyz
Keith Arnold,Spanish
Robin Cruz,Marathi
Jeffrey Kelly,Tswana
Matthew Warren,Quechua
Kelly Cooper,Bulgarian
Katherine Murray,Tetum
Barbara Webb,Dzongkha
Johnny Hill,Lithuanian
Ruth Hanson,Montenegrin
Jesse Garza,Portuguese
Kathryn Dunn,Belarusian
Melissa Grant,Haitian Creole
Kathy Miller,Latvian
Matthew Reyes,Belarusian
Jean Ortiz,Georgian
James Thomas,Filipino
Kenneth Bell,Burmese
Paul Ross,Pashto
Deborah Taylor,Pashto
Sean Barnes,Swahili
Aaron Campbell,Kyrgyz
Brian George,Thai
Arthur Gonzales,Moldovan
Ryan Snyder,Tamil
Christine Cole,Bislama
Kevin Welch,Azeri
James Mason,Tswana
Roy Elliott,Bosnian
Roger Medina,Armenian
Jose Vasquez,Hungarian
Pamela Reynolds,Belarusian
Charles Rose,Latvian
Ernest Meyer,Dari
Kevin Peters,Latvian
Michael Carpenter,Tamil
Richard Montgomery,Afrikaans
Earl Kim,West Frisian
Patrick Adams,Icelandic
Marie Stone,Japanese
Anne Bailey,Kashmiri
Scott Perry,Japanese
Scott Wood,Montenegrin
Jean Spencer,Tetum
Kathy Sullivan,Burmese
Jeffrey Austin,New Zealand Sign Language
Justin Day,Catalan
